place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
10,3,TANGMERE(B432),C Y Ho,C Fownes,133,1068,8,6-1/2,"7                                                            

8                                                            

6                                                            

10",1:40.38,16,4(326),Class 4 - 1650M - (60-40),GOOD,ALL WEATHER TRACK,"HK$ 967,000",Sha Tin,2020/01/11
11,5,LASTING FRIENDSHIP(B251),K H Chan,L Ho,122,1125,6,7-3/4,"2                                                            

3                                                            

4                                                            

11",1:40.59,18,4(326),Class 4 - 1650M - (60-40),GOOD,ALL WEATHER TRACK,"HK$ 967,000",Sha Tin,2020/01/11
12,2,ROMAN IMPERO(V371),H W Lai,C H Yip,133,1159,2,12-1/2,"4                                                            

6                                                            

5                                                            

12",1:41.36,13,4(326),Class 4 - 1650M - (60-40),GOOD,ALL WEATHER TRACK,"HK$ 967,000",Sha Tin,2020/01/11
13,8,GOLDIE FLANKER(V161),T H So,K L Man,127,1237,10,12-3/4,"13                                                            

14                                                            

14                                                            

13",1:41.37,91,4(326),Class 4 - 1650M - (60-40),GOOD,ALL WEATHER TRACK,"HK$ 967,000",Sha Tin,2020/01/11
14,10,VICTORY MASTERY(D031),L Hewitson,J Size,123,1201,1,22-3/4,"3                                                            

4                                                            

7                                                            

14",1:43.00,99,4(326),Class 4 - 1650M - (60-40),GOOD,ALL WEATHER TRACK,"HK$ 967,000",Sha Tin,2020/01/11
1,7,FARHH ABOVE(C148),C Y Ho,D J Whyte,127,1083,14,-,"14                                                            

13                                                            

1",1:09.64,3.9,5(327),Class 3 - 1200M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
2,3,TAKE WHAT YOU NEED(C474),B Shinn,J Moore,131,1042,6,3/4,"4                                                            

5                                                            

2",1:09.77,5.1,5(327),Class 3 - 1200M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
3,11,GLENEALY GENERALS(B475),K Teetan,C H Yip,122,1107,11,1-1/2,"2                                                            

2                                                            

3",1:09.86,8,5(327),Class 3 - 1200M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
4,1,FLYING ON THE TURF(C477),K C Leung,K H Ting,132,1146,9,1-3/4,"1                                                            

1                                                            

4",1:09.93,228,5(327),Class 3 - 1200M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
5,2,INFINITY ENDEAVOUR(A030),J Moreira,J Size,132,1118,2,2,"6                                                            

7                                                            

5",1:09.96,6.2,5(327),Class 3 - 1200M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
6,10,HONEST WAY(B200),N Callan,D E Ferraris,125,1252,3,2-1/4,"7                                                            

8                                                            

6",1:10.00,7.9,5(327),Class 3 - 1200M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
7,5,BALTIC SUCCESS(C373),G van Niekerk,C S Shum,129,1142,10,3-1/2,"8                                                            

6                                                            

7",1:10.19,7.6,5(327),Class 3 - 1200M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
8,12,GRADE ONE(A010),M Chadwick,P O'Sullivan,122,1202,7,3-1/2,"10                                                            

10                                                            

8",1:10.20,6.3,5(327),Class 3 - 1200M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
9,4,WHISKEY NEAT(D150),A Badel,C Fownes,131,1149,4,3-3/4,"9                                                            

9                                                            

9",1:10.23,108,5(327),Class 3 - 1200M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
10,14,INTERSTELLAR(C270),H T Mo,K W Lui,115,1142,8,4-3/4,"13                                                            

14                                                            

10",1:10.38,232,5(327),Class 3 - 1200M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
11,6,CALIFORNIA ARGENT(C042),T Piccone,A S Cruz,129,1125,13,6,"11                                                            

11                                                            

11",1:10.59,51,5(327),Class 3 - 1200M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
12,8,JADE THEATRE(A040),M F Poon,K L Man,125,1096,12,7,"12                                                            

12                                                            

12",1:10.75,151,5(327),Class 3 - 1200M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
13,13,HARD PROMISE(A373),M L Yeung,T P Yung,121,1117,1,7-1/2,"3                                                            

4                                                            

13",1:10.85,90,5(327),Class 3 - 1200M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
14,9,FORZA ANGEL(B333),H N Wong,Y S Tsui,123,1061,5,7-3/4,"5                                                            

3                                                            

14",1:10.89,176,5(327),Class 3 - 1200M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
1,12,WINNING TOGETHER(B356),M Chadwick,C W Chang,118,1182,10,-,"13                                                            

13                                                            

13                                                            

1",1:22.84,17,6(328),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
2,14,CASIMIRO(C149),K Teetan,P O'Sullivan,114,1094,3,1/2,"4                                                            

6                                                            

6                                                            

2",1:22.91,5.9,6(328),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
3,1,SUNSHINE WARRIOR(C360),T Piccone,A S Cruz,133,1113,9,1/2,"3                                                            

2                                                            

2                                                            

3",1:22.93,5.6,6(328),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
4,2,KING'S RACE(C249),C Y Ho,K H Ting,131,1213,13,3/4,"1                                                            

1                                                            

1                                                            

4",1:22.96,4.1,6(328),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
5,3,SAM'S LOVE(A088),K H Chan,C H Yip,119,1045,7,1,"2                                                            

3                                                            

3                                                            

5",1:23.00,11,6(328),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
6,5,MY WINNER(B197),S de Sousa,R Gibson,128,1145,4,1-3/4,"11                                                            

12                                                            

12                                                            

6",1:23.12,6.3,6(328),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
7,13,BEST FOR YOU(C223),G van Niekerk,Y S Tsui,117,1006,12,1-3/4,"6                                                            

4                                                            

5                                                            

7",1:23.12,25,6(328),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
8,9,METHANE(C469),L Hewitson,D E Ferraris,123,1077,1,2-1/2,"7                                                            

9                                                            

9                                                            

8",1:23.26,30,6(328),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
9,11,ADONIS(A324),A Badel,D J Whyte,119,1082,8,3-1/4,"10                                                            

10                                                            

10                                                            

9",1:23.36,7.8,6(328),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
10,10,FANTASTIC BOY(D013),K C Leung,W Y So,121,1176,2,4,"8                                                            

8                                                            

7                                                            

10",1:23.49,69,6(328),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
11,7,FOREVER SHARP(C467),B Shinn,C S Shum,125,1093,6,4-1/4,"5                                                            

5                                                            

4                                                            

11",1:23.51,46,6(328),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
12,6,SPEEDY DRAGON(B185),M F Poon,D J Hall,124,1080,5,4-1/2,"12                                                            

11                                                            

11                                                            

12",1:23.56,15,6(328),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
13,8,JOY N FUN LEGEND(D012),M L Yeung,T P Yung,125,1138,14,4-3/4,"14                                                            

14                                                            

14                                                            

13",1:23.61,250,6(328),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
14,4,LEADING FORTUNE(C441),J Moreira,J Size,128,1126,11,6-1/4,"9                                                            

7                                                            

8                                                            

14",1:23.85,45,6(328),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
1,13,GOLDEN FOUR(B225),B Shinn,C W Chang,123,1029,4,-,"10                                                            

8                                                            

7                                                            

1",1:22.88,7.1,7(329),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
2,4,TRIPLE TRIPLE(C359),J Moreira,F C Lor,132,1058,6,1/2,"3                                                            

4                                                            

3                                                            

2",1:22.97,4.1,7(329),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
3,2,CIRCUIT HASSLER(A041),T Piccone,A S Cruz,132,1186,8,1,"5                                                            

7                                                            

6                                                            

3",1:23.04,6.3,7(329),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
4,7,SPRINT FORWARD(C353),S de Sousa,J Moore,128,1093,14,1,"4                                                            

1                                                            

1                                                            

4",1:23.04,6.9,7(329),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
5,11,NUNCHUKS(C357),C Y Ho,C Fownes,124,1024,1,1-1/2,"2                                                            

3                                                            

4                                                            

5",1:23.14,32,7(329),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
6,9,YES WE CAN(C307),M L Yeung,T P Yung,126,1208,2,1-3/4,"6                                                            

5                                                            

5                                                            

6",1:23.15,339,7(329),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
7,6,SHADOW BREAKER(C268),A Badel,K H Ting,129,1048,9,3-1/4,"9                                                            

10                                                            

9                                                            

7",1:23.38,33,7(329),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
8,1,KING'S TROOPER(C130),K C Leung,P F Yiu,133,1159,5,3-1/4,"7                                                            

6                                                            

8                                                            

8",1:23.41,16,7(329),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
9,14,JUNZI(V274),T H So,W Y So,112,994,3,3-1/2,"12                                                            

13                                                            

10                                                            

9",1:23.43,245,7(329),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
10,10,DESTINE JEWELLERY(D032),G van Niekerk,J Size,124,1159,12,4,"1                                                            

2                                                            

2                                                            

10",1:23.53,20,7(329),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
11,8,BABY STORM(C500),H W Lai,L Ho,126,1064,7,4,"8                                                            

9                                                            

11                                                            

11",1:23.53,257,7(329),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
12,5,XPONENTIAL(D049),K Teetan,D J Whyte,132,1138,10,4-3/4,"11                                                            

12                                                            

13                                                            

12",1:23.65,3.6,7(329),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
13,12,WILLFUL(C047),M F Poon,Y S Tsui,122,1107,13,8-1/2,"14                                                            

14                                                            

14                                                            

13",1:24.25,270,7(329),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
14,3,SPLENDID TIMING(C161),N Callan,C H Yip,132,1251,11,9,"13                                                            

11                                                            

12                                                            

14",1:24.33,14,7(329),Class 4 - 1400M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 967,000",Sha Tin,2020/01/11
1,2,BEAR SLAM(C143),J Moreira,D E Ferraris,132,1015,5,-,"5                                                            

5                                                            

5                                                            

1",1:38.55,3.6,8(330),Class 3 - 1650M - (80-60),GOOD,ALL WEATHER TRACK,"HK$ 1,450,000",Sha Tin,2020/01/11
2,9,RIGHTEOUS DOCTRINE(C197),A Badel,C W Chang,122,1150,2,1-1/4,"4                                                            

4                                                            

2                                                            

2",1:38.76,3.1,8(330),Class 3 - 1650M - (80-60),GOOD,ALL WEATHER TRACK,"HK$ 1,450,000",Sha Tin,2020/01/11
3,6,HOLY HEART(C443),C Y Ho,K W Lui,128,1086,9,1-1/4,"9                                                            

9                                                            

9                                                            

3",1:38.76,4.8,8(330),Class 3 - 1650M - (80-60),GOOD,ALL WEATHER TRACK,"HK$ 1,450,000",Sha Tin,2020/01/11
4,8,ENFOLDING(B353),S de Sousa,C Fownes,123,1088,11,3-1/4,"12                                                            

11                                                            

8                                                            

4",1:39.06,14,8(330),Class 3 - 1650M - (80-60),GOOD,ALL WEATHER TRACK,"HK$ 1,450,000",Sha Tin,2020/01/11
5,7,VOLPINO(B161),B Shinn,T P Yung,128,1133,12,3-1/2,"14                                                            

14                                                            

12                                                            

5",1:39.10,26,8(330),Class 3 - 1650M - (80-60),GOOD,ALL WEATHER TRACK,"HK$ 1,450,000",Sha Tin,2020/01/11
6,13,CROWN AVENUE(V378),M F Poon,C H Yip,117,1153,13,4,"10                                                            

10                                                            

10                                                            

6",1:39.17,113,8(330),Class 3 - 1650M - (80-60),GOOD,ALL WEATHER TRACK,"HK$ 1,450,000",Sha Tin,2020/01/11
7,4,HAPPY SEBRING(B189),T Piccone,A S Cruz,132,1172,14,4,"13                                                            

13                                                            

13                                                            

7",1:39.19,11,8(330),Class 3 - 1650M - (80-60),GOOD,ALL WEATHER TRACK,"HK$ 1,450,000",Sha Tin,2020/01/11
8,12,JADE FORTUNE(V020),K C Leung,K L Man,121,1123,4,4,"6                                                            

6                                                            

6                                                            

8",1:39.20,26,8(330),Class 3 - 1650M - (80-60),GOOD,ALL WEATHER TRACK,"HK$ 1,450,000",Sha Tin,2020/01/11
9,1,ENDEARING(V338),K H Chan,J Moore,123,1098,10,6-1/2,"3                                                            

1                                                            

1                                                            

9",1:39.57,26,8(330),Class 3 - 1650M - (80-60),GOOD,ALL WEATHER TRACK,"HK$ 1,450,000",Sha Tin,2020/01/11
10,3,COBY OPPA(C192),K Teetan,F C Lor,132,1053,8,10-1/2,"7                                                            

7                                                            

7                                                            

10",1:40.24,16,8(330),Class 3 - 1650M - (80-60),GOOD,ALL WEATHER TRACK,"HK$ 1,450,000",Sha Tin,2020/01/11
11,11,HANDSOME REBEL(B469),H N Wong,Y S Tsui,118,1061,7,12-1/4,"2                                                            

2                                                            

4                                                            

11",1:40.51,33,8(330),Class 3 - 1650M - (80-60),GOOD,ALL WEATHER TRACK,"HK$ 1,450,000",Sha Tin,2020/01/11
12,10,SALTO OLIMPICO(A350),T H So,D J Hall,120,1104,1,12-3/4,"8                                                            

8                                                            

11                                                            

12",1:40.59,333,8(330),Class 3 - 1650M - (80-60),GOOD,ALL WEATHER TRACK,"HK$ 1,450,000",Sha Tin,2020/01/11
13,5,LAST KINGDOM(B203),L Hewitson,D J Whyte,131,1045,6,14,"1                                                            

3                                                            

3                                                            

13",1:40.77,24,8(330),Class 3 - 1650M - (80-60),GOOD,ALL WEATHER TRACK,"HK$ 1,450,000",Sha Tin,2020/01/11
14,14,GRAN MASTER(V336),H T Mo,L Ho,114,1163,3,17-1/4,"11                                                            

12                                                            

14                                                            

14",1:41.29,197,8(330),Class 3 - 1650M - (80-60),GOOD,ALL WEATHER TRACK,"HK$ 1,450,000",Sha Tin,2020/01/11
1,1,SUPER STAR(B380),S de Sousa,A T Millard,133,1073,9,-,"8                                                            

8                                                            

9                                                            

1",1:21.90,4.9,9(331),Class 3 - 1400M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
2,10,MONEY BACK(C392),T H So,P O'Sullivan,116,1095,3,1/2,"11                                                            

11                                                            

10                                                            

2",1:21.99,70,9(331),Class 3 - 1400M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
3,6,HORSESAIN BOLT(D061),K Teetan,D J Whyte,125,1185,5,1,"5                                                            

5                                                            

5                                                            

3",1:22.05,9.2,9(331),Class 3 - 1400M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
4,14,DEFINING MOMENT(C159),H T Mo,C Fownes,112,1127,10,1-1/2,"13                                                            

14                                                            

14                                                            

4",1:22.13,36,9(331),Class 3 - 1400M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
5,5,CRAIG'S STAR(C041),T Piccone,C S Shum,126,1252,11,1-3/4,"1                                                            

1                                                            

1                                                            

5",1:22.18,5.6,9(331),Class 3 - 1400M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
6,11,UNICORNBABY(C203),M F Poon,R Gibson,116,1126,6,2,"10                                                            

10                                                            

11                                                            

6",1:22.21,11,9(331),Class 3 - 1400M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
7,13,PERFECT PAIR(C027),K C Leung,W Y So,116,1083,1,2-3/4,"4                                                            

4                                                            

4                                                            

7",1:22.35,23,9(331),Class 3 - 1400M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
8,3,AWE(D168),N Callan,J Moore,129,1070,7,3,"6                                                            

6                                                            

8                                                            

8",1:22.37,7.7,9(331),Class 3 - 1400M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
9,12,KIRAM(T093),L Hewitson,D E Ferraris,116,1132,14,3,"14                                                            

12                                                            

12                                                            

9",1:22.39,79,9(331),Class 3 - 1400M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
10,8,KUNG FU FIGHTER(D109),B Shinn,D J Hall,123,1272,4,3-1/2,"7                                                            

7                                                            

7                                                            

10",1:22.46,18,9(331),Class 3 - 1400M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
11,4,BE READY(D024),J Moreira,F C Lor,128,1144,8,4,"2                                                            

3                                                            

3                                                            

11",1:22.53,3.6,9(331),Class 3 - 1400M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
12,7,DIVINE UNICORN(C269),H N Wong,Y S Tsui,120,1200,13,4-3/4,"12                                                            

13                                                            

13                                                            

12",1:22.66,330,9(331),Class 3 - 1400M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
13,9,ULTIMATE GLORY(S235),H W Lai,K L Man,122,1278,12,5-1/4,"9                                                            

9                                                            

6                                                            

13",1:22.74,16,9(331),Class 3 - 1400M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
14,2,WIND N GRASS(D197),A Badel,J Size,132,1087,2,5-1/2,"3                                                            

2                                                            

2                                                            

14",1:22.76,89,9(331),Class 3 - 1400M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,450,000",Sha Tin,2020/01/11
1,6,PRECIOUSSHIP(C050),C Y Ho,P F Yiu,123,1012,1,-,"6                                                            

6                                                            

6                                                            

1",1:33.94,3.6,10(332),Class 2 - 1600M - (100-80),GOOD,"TURF - ""A"" Course","HK$ 2,100,000",Sha Tin,2020/01/11
2,13,COLUMBUS COUNTY(C465),J Moreira,C Fownes,119,1052,3,3/4,"9                                                            

8                                                            

8                                                            

2",1:34.04,7.1,10(332),Class 2 - 1600M - (100-80),GOOD,"TURF - ""A"" Course","HK$ 2,100,000",Sha Tin,2020/01/11
3,11,CORDYCEPS(B070),M Chadwick,K W Lui,120,1195,12,1-1/2,"4                                                            

2                                                            

1                                                            

3",1:34.17,17,10(332),Class 2 - 1600M - (100-80),GOOD,"TURF - ""A"" Course","HK$ 2,100,000",Sha Tin,2020/01/11
4,5,NICCONI EXPRESS(C024),S de Sousa,J Size,126,1048,11,2,"11                                                            

12                                                            

13                                                            

4",1:34.25,3.6,10(332),Class 2 - 1600M - (100-80),GOOD,"TURF - ""A"" Course","HK$ 2,100,000",Sha Tin,2020/01/11
5,7,RIGHT CHOICE(C013),K H Chan,F C Lor,113,1067,2,2-1/2,"3                                                            

3                                                            

3                                                            

5",1:34.32,97,10(332),Class 2 - 1600M - (100-80),GOOD,"TURF - ""A"" Course","HK$ 2,100,000",Sha Tin,2020/01/11
6,8,BUTTERFIELD(C462),A Badel,C S Shum,122,1117,8,2-1/2,"12                                                            

11                                                            

9                                                            

6",1:34.33,39,10(332),Class 2 - 1600M - (100-80),GOOD,"TURF - ""A"" Course","HK$ 2,100,000",Sha Tin,2020/01/11
7,3,HEZTHEWONFORUS(B287),M F Poon,J Size,127,1137,9,3-1/4,"1                                                            

1                                                            

2                                                            

7",1:34.47,51,10(332),Class 2 - 1600M - (100-80),GOOD,"TURF - ""A"" Course","HK$ 2,100,000",Sha Tin,2020/01/11
8,1,HELENE CHARISMA(A129),B Shinn,J Moore,133,1112,10,3-1/2,"14                                                            

13                                                            

11                                                            

8",1:34.49,129,10(332),Class 2 - 1600M - (100-80),GOOD,"TURF - ""A"" Course","HK$ 2,100,000",Sha Tin,2020/01/11
9,10,BAND OF BROTHERS(C135),K Teetan,P O'Sullivan,120,1168,4,3-3/4,"5                                                            

7                                                            

7                                                            

9",1:34.53,5.9,10(332),Class 2 - 1600M - (100-80),GOOD,"TURF - ""A"" Course","HK$ 2,100,000",Sha Tin,2020/01/11
10,2,PRIVATE SECRETARY(D127),T Piccone,A S Cruz,131,1001,6,4-1/2,"2                                                            

4                                                            

4                                                            

10",1:34.66,5.4,10(332),Class 2 - 1600M - (100-80),GOOD,"TURF - ""A"" Course","HK$ 2,100,000",Sha Tin,2020/01/11
11,9,SUPERICH(B257),M L Yeung,F C Lor,121,1129,14,4-1/2,"13                                                            

14                                                            

14                                                            

11",1:34.67,103,10(332),Class 2 - 1600M - (100-80),GOOD,"TURF - ""A"" Course","HK$ 2,100,000",Sha Tin,2020/01/11
12,14,GOOD OMEN(B208),L Hewitson,D J Whyte,118,1055,5,5,"10                                                            

10                                                            

12                                                            

12",1:34.75,55,10(332),Class 2 - 1600M - (100-80),GOOD,"TURF - ""A"" Course","HK$ 2,100,000",Sha Tin,2020/01/11
13,12,CIRCUIT NUMBER TWO(B387),H T Mo,A S Cruz,116,1036,13,8-1/4,"8                                                            

5                                                            

5                                                            

13",1:35.27,153,10(332),Class 2 - 1600M - (100-80),GOOD,"TURF - ""A"" Course","HK$ 2,100,000",Sha Tin,2020/01/11
14,4,KING OPIE(B034),G van Niekerk,F C Lor,128,1112,7,15,"7                                                            

9                                                            

10                                                            

14",1:36.33,58,10(332),Class 2 - 1600M - (100-80),GOOD,"TURF - ""A"" Course","HK$ 2,100,000",Sha Tin,2020/01/11
1,8,ROMAN ODYSSEY(A092),M Chadwick,K L Man,127,1115,4,-,"5                                                            

4                                                            

1",0:57.67,4.5,1(333),Class 5 - 1000M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 725,000",Happy Valley,2020/01/15
2,6,FLYING MONKEY(T361),A Badel,T P Yung,129,1087,8,N,"4                                                            

5                                                            

2",0:57.73,18,1(333),Class 5 - 1000M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 725,000",Happy Valley,2020/01/15
3,9,ROYAL CHOCOLATE(A356),K Teetan,W Y So,127,1157,2,1/2,"6                                                            

6                                                            

3",0:57.75,7.4,1(333),Class 5 - 1000M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 725,000",Happy Valley,2020/01/15
4,5,DEMONS ROCK(B263),M F Poon,D J Hall,127,1053,9,3/4,"10                                                            

11                                                            

4",0:57.80,14,1(333),Class 5 - 1000M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 725,000",Happy Valley,2020/01/15
5,7,GREAT SON(A423),N Callan,P O'Sullivan,128,1047,5,1,"2                                                            

2                                                            

5",0:57.83,3.6,1(333),Class 5 - 1000M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 725,000",Happy Valley,2020/01/15
6,10,JIMSON THE DRAGON(C017),K H Chan,C H Yip,116,1045,6,1-1/2,"9                                                            

8                                                            

6",0:57.90,25,1(333),Class 5 - 1000M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 725,000",Happy Valley,2020/01/15
7,4,NICE FANDANGO(A209),B Shinn,C Fownes,131,1136,11,1-3/4,"1                                                            

1                                                            

7",0:57.95,8.4,1(333),Class 5 - 1000M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 725,000",Happy Valley,2020/01/15
8,12,KEEP GOING(B231),H N Wong,Y S Tsui,112,1060,7,2-1/2,"7                                                            

10                                                            

8",0:58.08,27,1(333),Class 5 - 1000M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 725,000",Happy Valley,2020/01/15
9,1,GOLDEN GENERAL(A346),H T Mo,K H Ting,130,1194,10,2-3/4,"12                                                            

12                                                            

9",0:58.11,74,1(333),Class 5 - 1000M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 725,000",Happy Valley,2020/01/15
10,3,MULTIMAX(T129),H W Lai,L Ho,131,1192,1,3,"3                                                            

3                                                            

10",0:58.15,7.3,1(333),Class 5 - 1000M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 725,000",Happy Valley,2020/01/15
11,11,NASHASHUK(V143),J Moreira,J Size,115,1125,12,4-1/2,"8                                                            

7                                                            

11",0:58.37,11,1(333),Class 5 - 1000M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 725,000",Happy Valley,2020/01/15
12,2,PROMISE KEPT(B017),L Hewitson,A T Millard,133,1080,3,5-1/4,"11                                                            

9                                                            

12",0:58.49,38,1(333),Class 5 - 1000M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 725,000",Happy Valley,2020/01/15
1,12,FLYING GODSPELL(V376),M F Poon,K H Ting,115,1103,1,-,"3                                                            

3                                                            

1",1:09.61,3.7,2(334),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 967,000",Happy Valley,2020/01/15
2,11,THE SHOW(T256),G van Niekerk,C W Chang,120,1107,5,1-1/4,"7                                                            

7                                                            

2",1:09.82,7.3,2(334),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 967,000",Happy Valley,2020/01/15
3,6,AMAZING(A202),K C Leung,T P Yung,127,1083,10,2-1/2,"11                                                            

10                                                            

3",1:10.00,16,2(334),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 967,000",Happy Valley,2020/01/15
4,2,JOLLY CONVERGENCE(V293),N Callan,R Gibson,132,1084,4,2-1/2,"4                                                            

5                                                            

4",1:10.01,11,2(334),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 967,000",Happy Valley,2020/01/15
